"V1" "V2" "V3"
"1" 0 1 0
"2" 0 1 0
"3" 1 0 0
"4" 0 0 1
"5" 0 1 0
"6" 0 1 0
"7" 0 0 1
"8" 0 1 0
"9" 0 1 0
"10" 0 0 1
"11" 0 0 1
"12" 0 1 0
"13" 0 0 1
"14" 0 1 0
"15" 1 0 0
"16" 0 1 0
"17" 0 1 0
"18" 1 0 0
"19" 0 1 0
"20" 0 1 0
"21" 0 1 0
"22" 0 1 0
"23" 1 0 0
"24" 1 0 0
"25" 0 1 0
"26" 0 0 1
"27" 0 1 0
"28" 0 1 0
"29" 0 0 1
"30" 0 1 0
"31" 0 1 0
"32" 0 0 1
"33" 1 0 0
"34" 1 0 0
"35" 0 0 1
"36" 0 0 1
"37" 0 1 0
"38" 0 1 0
"39" 0 1 0
"40" 0 0 1
"41" 0 1 0
"42" 0 1 0
"43" 0 1 0
"44" 1 0 0
"45" 0 0 1
"46" 1 0 0
"47" 0 1 0
"48" 0 1 0
"49" 1 0 0
"50" 0 1 0
"51" 0 1 0
"52" 1 0 0
"53" 0 1 0
"54" 0 1 0
"55" 0 1 0
"56" 0 1 0
"57" 0 1 0
"58" 0 0 1
"59" 0 0 1
"60" 0 1 0
"61" 1 0 0
"62" 0 1 0
"63" 1 0 0
"64" 0 0 1
"65" 0 0 1
"66" 0 1 0
"67" 0 1 0
"68" 0 0 1
"69" 0 1 0
"70" 0 1 0
"71" 1 0 0
"72" 1 0 0
"73" 0 1 0
"74" 0 1 0
"75" 0 0 1
"76" 0 1 0
"77" 0 0 1
"78" 0 0 1
"79" 0 0 1
"80" 0 0 1
"81" 0 1 0
"82" 0 1 0
"83" 1 0 0
"84" 1 0 0
"85" 0 0 1
"86" 0 0 1
"87" 0 0 1
"88" 0 0 1
"89" 0 1 0
"90" 0 0 1
"91" 0 1 0
"92" 1 0 0
"93" 0 0 1
"94" 0 1 0
"95" 0 1 0
"96" 0 1 0
"97" 0 0 1
"98" 0 0 1
"99" 0 0 1
"100" 0 1 0
"101" 0 0 1
"102" 1 0 0
"103" 0 1 0
"104" 0 1 0
"105" 0 1 0
"106" 0 1 0
"107" 1 0 0
"108" 0 1 0
"109" 0 1 0
"110" 1 0 0
"111" 0 0 1
"112" 1 0 0
"113" 0 0 1
"114" 1 0 0
"115" 1 0 0
"116" 0 1 0
"117" 0 1 0
"118" 0 1 0
"119" 1 0 0
"120" 0 0 1
"121" 1 0 0
"122" 0 0 1
"123" 0 1 0
"124" 0 0 1
"125" 0 1 0
"126" 0 0 1
"127" 0 1 0
"128" 1 0 0
"129" 1 0 0
"130" 0 1 0
"131" 0 1 0
"132" 0 0 1
"133" 0 0 1
"134" 0 1 0
"135" 0 0 1
"136" 1 0 0
"137" 0 0 1
"138" 0 0 1
"139" 0 1 0
"140" 0 0 1
"141" 0 1 0
"142" 0 1 0
"143" 0 1 0
"144" 1 0 0
"145" 0 0 1
"146" 0 1 0
"147" 0 0 1
"148" 1 0 0
"149" 0 0 1
"150" 0 1 0
