"V1" "V2" "V3"
"1" 0 1 0
"2" 0 1 0
"3" 0 0 1
"4" 1 0 0
"5" 0 1 0
"6" 0 1 0
"7" 0 0 1
"8" 0 1 0
"9" 0 1 0
"10" 0 0 1
"11" 0 0 1
"12" 1 0 0
"13" 0 0 1
"14" 1 0 0
"15" 0 0 1
"16" 0 1 0
"17" 0 1 0
"18" 0 0 1
"19" 0 1 0
"20" 0 0 1
"21" 0 1 0
"22" 1 0 0
"23" 1 0 0
"24" 1 0 0
"25" 0 1 0
"26" 1 0 0
"27" 0 1 0
"28" 0 1 0
"29" 1 0 0
"30" 0 1 0
"31" 0 0 1
"32" 0 0 1
"33" 1 0 0
"34" 0 0 1
"35" 0 0 1
"36" 0 1 0
"37" 0 0 1
"38" 0 1 0
"39" 0 1 0
"40" 1 0 0
"41" 1 0 0
"42" 0 1 0
"43" 0 1 0
"44" 1 0 0
"45" 0 1 0
"46" 0 0 1
"47" 0 1 0
"48" 0 0 1
"49" 1 0 0
"50" 0 1 0
"51" 0 0 1
"52" 1 0 0
"53" 0 1 0
"54" 0 1 0
"55" 0 1 0
"56" 0 1 0
"57" 0 1 0
"58" 1 0 0
"59" 1 0 0
"60" 0 1 0
"61" 1 0 0
"62" 0 1 0
"63" 1 0 0
"64" 1 0 0
"65" 1 0 0
"66" 0 1 0
"67" 1 0 0
"68" 1 0 0
"69" 0 0 1
"70" 1 0 0
"71" 0 0 1
"72" 0 0 1
"73" 1 0 0
"74" 0 1 0
"75" 1 0 0
"76" 1 0 0
"77" 0 0 1
"78" 1 0 0
"79" 1 0 0
"80" 0 0 1
"81" 0 1 0
"82" 0 1 0
"83" 1 0 0
"84" 0 0 1
"85" 1 0 0
"86" 1 0 0
"87" 0 0 1
"88" 0 0 1
"89" 1 0 0
"90" 0 1 0
"91" 0 1 0
"92" 0 1 0
"93" 1 0 0
"94" 0 1 0
"95" 0 0 1
"96" 0 1 0
"97" 0 0 1
"98" 0 0 1
"99" 1 0 0
"100" 0 1 0
"101" 1 0 0
"102" 1 0 0
"103" 1 0 0
"104" 0 1 0
"105" 0 1 0
"106" 0 1 0
"107" 0 0 1
"108" 0 1 0
"109" 0 0 1
"110" 0 0 1
"111" 0 0 1
"112" 1 0 0
"113" 0 0 1
"114" 0 0 1
"115" 0 1 0
"116" 0 1 0
"117" 0 0 1
"118" 0 1 0
"119" 1 0 0
"120" 0 0 1
"121" 1 0 0
"122" 0 1 0
"123" 0 1 0
"124" 0 0 1
"125" 0 0 1
"126" 1 0 0
"127" 0 1 0
"128" 0 0 1
"129" 1 0 0
"130" 0 1 0
"131" 0 1 0
"132" 0 1 0
"133" 0 0 1
"134" 0 1 0
"135" 1 0 0
"136" 1 0 0
"137" 0 0 1
"138" 0 1 0
"139" 0 1 0
"140" 0 0 1
"141" 0 1 0
"142" 0 1 0
"143" 0 0 1
"144" 0 1 0
"145" 0 0 1
"146" 0 1 0
"147" 0 0 1
"148" 0 0 1
"149" 0 1 0
"150" 0 1 0
