"V1" "V2" "V3"
"1" 0 0 1
"2" 0 1 0
"3" 1 0 0
"4" 1 0 0
"5" 0 0 1
"6" 0 1 0
"7" 1 0 0
"8" 0 1 0
"9" 0 1 0
"10" 0 0 1
"11" 1 0 0
"12" 0 0 1
"13" 1 0 0
"14" 0 0 1
"15" 1 0 0
"16" 0 1 0
"17" 0 1 0
"18" 0 0 1
"19" 0 0 1
"20" 1 0 0
"21" 0 1 0
"22" 0 0 1
"23" 0 0 1
"24" 0 1 0
"25" 0 1 0
"26" 1 0 0
"27" 0 1 0
"28" 0 1 0
"29" 1 0 0
"30" 0 1 0
"31" 1 0 0
"32" 1 0 0
"33" 0 1 0
"34" 0 0 1
"35" 0 0 1
"36" 0 0 1
"37" 0 1 0
"38" 0 1 0
"39" 0 1 0
"40" 1 0 0
"41" 0 1 0
"42" 0 1 0
"43" 0 1 0
"44" 0 0 1
"45" 0 0 1
"46" 0 1 0
"47" 0 1 0
"48" 0 1 0
"49" 1 0 0
"50" 0 1 0
"51" 1 0 0
"52" 0 0 1
"53" 0 1 0
"54" 0 1 0
"55" 0 1 0
"56" 0 1 0
"57" 0 1 0
"58" 1 0 0
"59" 0 0 1
"60" 0 1 0
"61" 0 0 1
"62" 0 1 0
"63" 0 0 1
"64" 1 0 0
"65" 1 0 0
"66" 0 1 0
"67" 0 1 0
"68" 0 0 1
"69" 0 1 0
"70" 0 0 1
"71" 1 0 0
"72" 0 0 1
"73" 1 0 0
"74" 0 1 0
"75" 0 0 1
"76" 0 0 1
"77" 1 0 0
"78" 0 1 0
"79" 1 0 0
"80" 1 0 0
"81" 0 1 0
"82" 0 1 0
"83" 0 0 1
"84" 1 0 0
"85" 0 0 1
"86" 1 0 0
"87" 1 0 0
"88" 1 0 0
"89" 0 1 0
"90" 0 1 0
"91" 0 1 0
"92" 0 1 0
"93" 1 0 0
"94" 0 1 0
"95" 0 1 0
"96" 1 0 0
"97" 1 0 0
"98" 1 0 0
"99" 0 0 1
"100" 0 1 0
"101" 1 0 0
"102" 0 1 0
"103" 0 1 0
"104" 0 1 0
"105" 0 1 0
"106" 0 1 0
"107" 0 1 0
"108" 0 1 0
"109" 0 0 1
"110" 0 0 1
"111" 0 0 1
"112" 0 0 1
"113" 1 0 0
"114" 0 0 1
"115" 1 0 0
"116" 0 1 0
"117" 1 0 0
"118" 0 0 1
"119" 1 0 0
"120" 0 0 1
"121" 0 0 1
"122" 0 1 0
"123" 0 1 0
"124" 0 0 1
"125" 1 0 0
"126" 1 0 0
"127" 0 1 0
"128" 1 0 0
"129" 0 0 1
"130" 0 1 0
"131" 0 0 1
"132" 0 0 1
"133" 0 0 1
"134" 0 1 0
"135" 1 0 0
"136" 1 0 0
"137" 0 0 1
"138" 0 0 1
"139" 1 0 0
"140" 0 0 1
"141" 0 1 0
"142" 0 1 0
"143" 0 0 1
"144" 1 0 0
"145" 0 1 0
"146" 0 1 0
"147" 0 0 1
"148" 0 0 1
"149" 0 1 0
"150" 0 1 0
